RENTAL_ZONE_HAL_ID,RENTAL_ZONE_HAL_SRC,NAME,CODE,TYPE,CITY,COUNTRY,LATITUDE,LONGITUDE,POI_AIRPORT_X,POI_LONG_DISTANCE_TRAINS_X,POI_SUBURBAN_TRAINS_X,POI_UNDERGROUND_X,ACTIVE_X,COMPANY,COMPANY_GROUP
23844,Standort,Walter-Kolb-Straße / Elisabethenstraße,6059400014,normal,Frankfurt am Main,Deutschland,8.687040956800000,50.106327069100000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24194,Standort,Tal (Sparkassenstr),88006101,normal,München,Deutschland,11.577827611000000,48.136360031700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24246,Standort,Stiglmaierplatz,88006553,normal,München,Deutschland,11.558888890000000,48.146944440000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24344,Standort,Subbelrather/Innere Kanalstr.,40027233,normal,Köln,Deutschland,6.932795730500000,50.948595014900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24379,Standort,Neumarkt,40027524,normal,Köln,Deutschland,6.949098740200000,50.936182263000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24380,Standort,Neumarkt,40027525,normal,Köln,Deutschland,6.949098740200000,50.936182263000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24390,Standort,Eigelstein/Ebertplatz,40027600,normal,Köln,Deutschland,6.956790157800000,50.950644755200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24422,Standort,Bahnhof Haupt- Breslauer Platz,40027864,normal,Köln,Deutschland,6.958322532500000,50.944693717400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24482,Standort,Mediapark,40028332,normal,Köln,Deutschland,6.942899402100000,50.946266014500000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24497,Standort,Mediapark,40028399,normal,Köln,Deutschland,6.940738617100000,50.946433024700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24504,Standort,The Coffee Store,40028452,normal,Köln,Deutschland,6.952250420600000,50.939732973000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24667,Standort,Neumarkt,40018646,normal,Köln,Deutschland,6.945614128900000,50.936644988500000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24706,Standort,Friesenplatz,40018927,normal,Köln,Deutschland,6.940042141000000,50.940523807000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24714,Standort,Neumarkt,40019064,normal,Köln,Deutschland,6.947563211800000,50.936367508900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24759,Standort,Barbarossaplatz,40019419,normal,Köln,Deutschland,6.941193078700000,50.929032746400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
24999,Standort,Friesenplatz,40021400,normal,Köln,Deutschland,6.938253799100000,50.940379262100000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25066,Standort,Chlodwigplatz,40021949,normal,Köln,Deutschland,6.959764348500000,50.920746615400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25089,Standort,Bahnhof Deutz,40022162,normal,Köln,Deutschland,6.973078250885010,50.940190268636925,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25100,Standort,Heumarkt,40022255,normal,Köln,Deutschland,6.960373834600000,50.935815259000000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25193,Standort,Bahnhof West,40022992,normal,Köln,Deutschland,6.933136550800000,50.943442902200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25194,Standort,Bahnhof West,40022993,normal,Köln,Deutschland,6.933136550800000,50.943442902200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25243,Standort,Friesenplatz,40023431,normal,Köln,Deutschland,6.941171359500000,50.940289619200000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25413,Standort,Barbarossaplatz,40024752,normal,Köln,Deutschland,6.942734461400000,50.928423063400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25469,Standort,Chlodwigplatz,40025210,normal,Köln,Deutschland,6.959585757000000,50.922047933300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25493,Standort,Friesenplatz,40025398,normal,Köln,Deutschland,6.937983371100000,50.940932744900000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25500,Standort,WDR,40025498,normal,Köln,Deutschland,6.956094107500000,50.940246129300000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25520,Standort,Bahnhof Haupt- Breslauer Platz,40025627,normal,Köln,Deutschland,6.960037080800000,50.942798812400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25652,Standort,Barbarossaplatz,40026737,normal,Köln,Deutschland,6.941426066700000,50.929039587400000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25729,Standort,Mediapark,40029658,normal,Köln,Deutschland,6.945105008800000,50.947131194700000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
25730,Standort,Eigelstein/Ebertplatz,40029684,normal,Köln,Deutschland,6.956884699500000,50.949074010600000,Nein,Nein,Nein,Nein,Ja,Call a Bike,Call a Bike
